modelis,tau,fpr,ataku_aptikta,macro_f1,tikslumas
MLP (suderintas),0.99748811,0.0008,0.8312452886431579,0.5706604260998549,0.7234666424836008
MLP (suderintas),0.99841511,0.0005333333333333334,0.8279691938169801,0.5647546631614752,0.7208065052447024
MLP (suderintas),0.999,0.00046666666666666666,0.8248507413490174,0.557746925340024,0.7181023987952436
MLP (suderintas),0.99936904,0.0003333333333333333,0.8221421590124136,0.5524071400499381,0.7157555421815873
MLP (suderintas),0.99960189,0.0002666666666666667,0.8195654230117716,0.5474891226279017,0.7134828836107515
MLP (suderintas),0.99974881,0.0002,0.81674505791207,0.5415443225023031,0.710951905927874
MLP (suderintas),0.99984151,0.00013333333333333334,0.8134947591081455,0.5342580623060678,0.7079949765176935
MLP (suderintas),0.9999,0.00013333333333333334,0.8104135675612154,0.5275310933870414,0.7052139239497542
MLP (suderintas),0.9999369,0.00013333333333333334,0.8073123124414215,0.5214628719311383,0.7024850848193552
MLP (suderintas),0.99996019,0.00013333333333333334,0.8029613833546867,0.5160467250507016,0.6989812883528309
MLP (suderintas),0.99997488,0.00013333333333333334,0.7952684362737933,0.507692492561214,0.6931663602562306
MLP (suderintas),0.99998415,6.666666666666667e-05,0.7880168877959018,0.49727698906054507,0.6881071529661354
MLP (suderintas),0.99999,6.666666666666667e-05,0.7807567406439261,0.49174793869350386,0.6834134397388228
MLP (suderintas),0.99999369,6.666666666666667e-05,0.7726911843527061,0.4868628209901168,0.6781453786985663
MLP (suderintas),0.99999602,6.666666666666667e-05,0.7625476151577427,0.48191781973052483,0.6716351874599812
MLP (suderintas),0.99999749,6.666666666666667e-05,0.7515470447790285,0.47645445551270305,0.6641796581943494
MLP (suderintas),0.99999842,6.666666666666667e-05,0.7352296275914254,0.47029227586783434,0.6531021652088125
MLP (suderintas),0.999999,0.0,0.7184822766995996,0.46378614839642684,0.6408100227815472
Random Forest (suderintas),0.5,0.3615333333333333,0.9837972318001897,0.7194352179570371,0.8363246136892641
Random Forest (suderintas),0.55,0.3166,0.9807045753544803,0.721097667461942,0.8359563715508216
Random Forest (suderintas),0.6,0.27253333333333335,0.976709058129903,0.7220883982093037,0.8348873701190741
Random Forest (suderintas),0.65,0.2268,0.9716415728694635,0.7219019889113218,0.8331533343776021
Random Forest (suderintas),0.7,0.18933333333333333,0.965783009593254,0.7196808343002049,0.8303915183392829
Random Forest (suderintas),0.75,0.14906666666666665,0.958241972421186,0.7160796734341942,0.8264287932375354
Random Forest (suderintas),0.8,0.1098,0.9476226099268826,0.7085624262485646,0.8199186019989503
Random Forest (suderintas),0.85,0.07133333333333333,0.9331281116451843,0.6981207497650836,0.8102728564322833
Random Forest (suderintas),0.9,0.038933333333333334,0.9132938367570387,0.6797269903731578,0.7960708014213047
Random Forest (suderintas),0.93690427,0.018733333333333334,0.8947178345099186,0.6609249495406773,0.7824898115094905
Random Forest (suderintas),0.96018928,0.0094,0.880180342857798,0.6422951009659628,0.7716376607280752
Random Forest (suderintas),0.97488114,0.004866666666666667,0.8703835868509076,0.6277902416873075,0.7641986199164036
Random Forest (suderintas),0.98415107,0.0024666666666666665,0.863435858190667,0.6154278780871772,0.7586859801424053
Random Forest (suderintas),0.99,0.0015333333333333334,0.8559206170408523,0.5988750236983178,0.7522472388709806
Random Forest (suderintas),0.99369043,0.0012,0.8535502492182372,0.5956821875198568,0.7502383955635067
Random Forest (suderintas),0.99601893,0.0008,0.8444958454073048,0.5777898316432277,0.7420491300966499
Random Forest (suderintas),0.99748811,0.0006666666666666666,0.8435815197296577,0.5765080964745071,0.7412714246848644
Random Forest (suderintas),0.99841511,0.0005333333333333334,0.8428534986571737,0.5756125312921585,0.74064211535872
Random Forest (suderintas),0.999,0.0004,0.8421398087081639,0.5746338838851303,0.7400347906378558
Random Forest (suderintas),0.99936904,0.0004,0.8413974565122058,0.5734077958162407,0.7393725044037912
Random Forest (suderintas),0.99960189,0.0004,0.8407009639113648,0.5722360544658007,0.7387459431533069
Random Forest (suderintas),0.99974881,0.0002666666666666667,0.8398238991547503,0.5709785068206467,0.7379517492875614
Random Forest (suderintas),0.99984151,0.0002666666666666667,0.8390643496106234,0.5693874737479591,0.7372537380699166
Random Forest (suderintas),0.9999,0.0002,0.8384022517061203,0.5684413429719293,0.7366436652733923
Random Forest (suderintas),0.9999369,0.0002,0.8379551206537286,0.5673944360893419,0.7362342020000495
Random Forest (suderintas),0.99996019,0.00013333333333333334,0.8373790094900699,0.5663969484905665,0.7357148157003058
Random Forest (suderintas),0.99997488,0.00013333333333333334,0.8369978016056591,0.5654045828435393,0.7353768023941235
Random Forest (suderintas),0.99998415,0.00013333333333333334,0.8367484400572098,0.5645622610509291,0.7351432159630219
Random Forest (suderintas),0.99999,0.00013333333333333334,0.8366079950471638,0.5644085221109505,0.735014056407001
Random Forest (suderintas),0.99999369,0.00013333333333333334,0.8361809275676357,0.5635012554368564,0.7346100892849782
Random Forest (suderintas),0.99999602,6.666666666666667e-05,0.8361092719502653,0.5634148609890884,0.7345441354691378
Random Forest (suderintas),0.99999749,6.666666666666667e-05,0.8358914388734591,0.5631385528964254,0.7343352817189763
Random Forest (suderintas),0.99999842,6.666666666666667e-05,0.8358914388734591,0.5631385528964254,0.7343352817189763
Random Forest (suderintas),0.999999,6.666666666666667e-05,0.8358914388734591,0.5631385528964254,0.7343352817189763
Random Forest,0.5,0.3615333333333333,0.9837972318001896,0.7194352179570371,0.8363246136892641
Random Forest,0.55,0.3166,0.9807045753544804,0.721097667461942,0.8359563715508216
Random Forest,0.6,0.2725333333333333,0.976709058129903,0.7220883982093037,0.8348873701190741
